         20    0.0016143
           70     0.015565
          130     0.041425
          190     0.071579
          250      0.11766
          305      0.19043
          355       0.2246
          410        0.194
        467.5      0.11551
          520     0.076411
          581     0.050736
          642     0.039075
        693.5     0.031535
          760       0.0246
        837.5     0.036008
        907.5     0.061799
          970     0.030759
       1032.5     0.039276
       1086.5     0.024842
         1154     0.026943
       1237.5    0.0028695
       1312.5    0.0011897
         1400   0.00068782
         1500     0.001101
         1600     0.011368
         1700     0.010082
         1800    0.0061832
         1900   0.00019415
         2000   0.00013876
         2125    5.502e-06
       2298.5   1.1157e-06
       2445.5   3.8279e-07
         2645   8.1355e-05
       2941.5   4.1131e-05
         3256   2.9767e-06
       3592.5   1.1068e-08
         3895   1.2094e-07
         4285   4.2426e-08
         4745   1.6682e-09
         5160   7.0624e-11
       5647.5   4.5971e-11
       6157.5   7.2882e-13
         6690   9.0334e-14
         7320   4.5432e-15
       7982.5   1.4959e-16
       8582.5            0
         9100            0
         9500            0
        10025            0
        10810            0
        11545            0
        12330            0
        13045            0
        13885            0
        14735            0
