# ExoColumn outer-HZ max-greenhouse column; Ts=273.00 K, ps=987503.1980 Pa, g=9.80616 m/s2
# k=1 is the top layer, k=200 the surface layer; vmr = mole fraction of moist air
k,p_layer_Pa,T_layer_K,p_level_top_Pa,p_level_bot_Pa,T_level_top_K,T_level_bot_K,z_level_top_m,z_level_bot_m,vmr_CO2,vmr_N2,vmr_H2O
158,1.97769267e+04,175.534869,1.88674293e+04,2.06864241e+04,175.079310,175.990428,16198.3962,15875.2313,8.986748419e-01,1.013250436e-01,1.145063733e-07
159,2.16836054e+04,176.450926,2.06864241e+04,2.26807868e+04,175.990428,176.911425,15875.2313,15550.3799,8.986748322e-01,1.013250425e-01,1.252426344e-07
160,2.37741057e+04,177.376929,2.26807868e+04,2.48674245e+04,176.911425,177.842434,15550.3799,15223.8238,8.986748217e-01,1.013250414e-01,1.369944750e-07
161,2.60661495e+04,178.313013,2.48674245e+04,2.72648744e+04,177.842434,178.783591,15223.8238,14895.5443,8.986748101e-01,1.013250400e-01,1.498579923e-07
162,2.85791675e+04,179.259312,2.72648744e+04,2.98934606e+04,178.783591,179.735033,14895.5443,14565.5226,8.986747974e-01,1.013250386e-01,1.639382564e-07
163,3.13344637e+04,180.215964,2.98934606e+04,3.27754668e+04,179.735033,180.696895,14565.5226,14233.7397,8.986747836e-01,1.013250371e-01,1.793501180e-07
164,3.43553960e+04,181.183106,3.27754668e+04,3.59353252e+04,180.696895,181.669316,14233.7397,13900.1762,8.986747684e-01,1.013250354e-01,1.962190831e-07
165,3.76675741e+04,182.160875,3.59353252e+04,3.93998231e+04,181.669316,182.652433,13900.1762,13564.8126,8.986747518e-01,1.013250335e-01,2.146822587e-07
166,4.12990768e+04,183.149409,3.93998231e+04,4.31983306e+04,182.652433,183.646385,13564.8126,13227.6291,8.986747337e-01,1.013250314e-01,2.348893750e-07
167,4.52806900e+04,184.148847,4.31983306e+04,4.73630495e+04,183.646385,184.651308,13227.6291,12888.6057,8.986747138e-01,1.013250292e-01,2.570038874e-07
168,4.96461676e+04,185.159325,4.73630495e+04,5.19292857e+04,184.651308,185.667342,12888.6057,12547.7218,8.986746921e-01,1.013250267e-01,2.812041647e-07
169,5.44325176e+04,186.180983,5.19292857e+04,5.69357494e+04,185.667342,186.694625,12547.7218,12204.9571,8.986746683e-01,1.013250241e-01,3.076847669e-07
170,5.96803160e+04,187.213958,5.69357494e+04,6.24248826e+04,186.694625,187.733292,12204.9571,11860.2907,8.986746422e-01,1.013250211e-01,3.366578173e-07
171,6.54340508e+04,188.258387,6.24248826e+04,6.84432190e+04,187.733292,188.783482,11860.2907,11513.7014,8.986746137e-01,1.013250179e-01,3.683544738e-07
172,7.17424988e+04,189.314405,6.84432190e+04,7.50417787e+04,188.783482,189.845329,11513.7014,11165.1679,8.986745826e-01,1.013250144e-01,4.030265029e-07
173,7.86591396e+04,190.382149,7.50417787e+04,8.22765006e+04,189.845329,190.918968,11165.1679,10814.6687,8.986745485e-01,1.013250106e-01,4.409479601e-07
174,8.62426086e+04,191.461751,8.22765006e+04,9.02087166e+04,190.918968,192.004533,10814.6687,10462.1819,8.986745112e-01,1.013250064e-01,4.824169790e-07
175,9.45571942e+04,192.553343,9.02087166e+04,9.89056717e+04,192.004533,193.102153,10462.1819,10107.6854,8.986744705e-01,1.013250018e-01,5.277576721e-07
176,1.03673383e+05,193.657056,9.89056717e+04,1.08441094e+05,193.102153,194.211959,10107.6854,9751.1570,8.986744259e-01,1.013249967e-01,5.773221434e-07
177,1.13668456e+05,194.773017,1.08441094e+05,1.18895819e+05,194.211959,195.334075,9751.1570,9392.5740,8.986743773e-01,1.013249912e-01,6.314926120e-07
178,1.24627147e+05,195.901351,1.18895819e+05,1.30358476e+05,195.334075,196.468626,9392.5740,9031.9137,8.986743241e-01,1.013249852e-01,6.906836447e-07
179,1.36642358e+05,197.042178,1.30358476e+05,1.42926239e+05,196.468626,197.615731,9031.9137,8669.1531,8.986742660e-01,1.013249787e-01,7.553444929e-07
180,1.49815946e+05,198.195618,1.42926239e+05,1.56705652e+05,197.615731,198.775505,8669.1531,8304.2690,8.986742025e-01,1.013249715e-01,8.259615255e-07
181,1.64259589e+05,199.361783,1.56705652e+05,1.71813527e+05,198.775505,199.948061,8304.2690,7937.2379,8.986741332e-01,1.013249637e-01,9.030607466e-07
182,1.80095734e+05,200.540782,1.71813527e+05,1.88377941e+05,199.948061,201.133502,7937.2379,7568.0362,8.986740576e-01,1.013249552e-01,9.872103821e-07
183,1.97458629e+05,201.732716,1.88377941e+05,2.06539317e+05,201.133502,202.331930,7568.0362,7196.6401,8.986739751e-01,1.013249459e-01,1.079023512e-06
184,2.16495468e+05,202.937683,2.06539317e+05,2.26451619e+05,202.331930,203.543436,7196.6401,6823.0256,8.986738851e-01,1.013249358e-01,1.179160720e-06
185,2.37367635e+05,204.155771,2.26451619e+05,2.48283651e+05,203.543436,204.768106,6823.0256,6447.1686,8.986737870e-01,1.013249247e-01,1.288332714e-06
186,2.60252071e+05,205.387060,2.48283651e+05,2.72220492e+05,204.768106,206.006014,6447.1686,6069.0447,8.986736801e-01,1.013249126e-01,1.407302872e-06
187,2.85342780e+05,206.631619,2.72220492e+05,2.98465067e+05,206.006014,207.257225,6069.0447,5688.6295,8.986735636e-01,1.013248995e-01,1.536889621e-06
188,3.12852464e+05,207.995327,2.98465067e+05,3.27239861e+05,207.257225,208.733430,5688.6295,5305.7036,8.986734140e-01,1.013248826e-01,1.703382077e-06
189,3.43014337e+05,211.218570,3.27239861e+05,3.58788812e+05,208.733430,213.703711,5305.7036,4916.8434,8.986727537e-01,1.013248082e-01,2.438112599e-06
190,3.76084093e+05,216.229700,3.58788812e+05,3.93379374e+05,213.703711,218.755689,4916.8434,4518.7572,8.986710240e-01,1.013246132e-01,4.362828422e-06
191,4.12342080e+05,221.322013,3.93379374e+05,4.31304786e+05,218.755689,223.888337,4518.7572,4111.2951,8.986680701e-01,1.013242801e-01,7.649736653e-06
192,4.52095673e+05,226.494206,4.31304786e+05,4.72886559e+05,223.888337,229.100074,4111.2951,3694.3094,8.986631276e-01,1.013237229e-01,1.314957612e-05
193,4.95681880e+05,231.744293,4.72886559e+05,5.18477200e+05,229.100074,234.388511,3694.3094,3267.6560,8.986550215e-01,1.013228089e-01,2.216957651e-05
194,5.43470200e+05,237.069312,5.18477200e+05,5.68463200e+05,234.388511,239.750113,3267.6560,2831.1952,8.986419882e-01,1.013213394e-01,3.667239210e-05
195,5.95865757e+05,242.464951,5.68463200e+05,6.23268313e+05,239.750113,245.179788,2831.1952,2384.7948,8.986214429e-01,1.013190229e-01,5.953417007e-05
196,6.53312730e+05,247.925087,6.23268313e+05,6.83357146e+05,245.179788,250.670386,2384.7948,1928.3325,8.985896948e-01,1.013154434e-01,9.486180157e-05
197,7.16298123e+05,253.441283,6.83357146e+05,7.49239099e+05,250.670386,256.212179,1928.3325,1461.6999,8.985416217e-01,1.013100231e-01,1.483551528e-04
198,7.85355891e+05,259.002278,7.49239099e+05,8.21472682e+05,256.212179,261.792376,1461.6999,984.8067,8.984703374e-01,1.013019859e-01,2.276767763e-04
199,8.61071466e+05,264.593597,8.21472682e+05,9.00670251e+05,261.792376,267.394818,984.8067,497.5861,8.983669150e-01,1.012903251e-01,3.427599448e-04
200,9.44086724e+05,270.197409,9.00670251e+05,9.87503198e+05,267.394818,273.000000,497.5861,0.0000,8.982202578e-01,1.012737896e-01,5.059526030e-04
