# ExoColumn outer-HZ max-greenhouse column; Ts=273.00 K, ps=987503.1980 Pa, g=9.80616 m/s2
# k=1 is the top layer, k=200 the surface layer; vmr = mole fraction of moist air
k,p_layer_Pa,T_layer_K,p_level_top_Pa,p_level_bot_Pa,T_level_top_K,T_level_bot_K,z_level_top_m,z_level_bot_m,vmr_CO2,vmr_N2,vmr_H2O
37,2.88046767e-01,154.000000,2.74800129e-01,3.01293404e-01,154.000000,154.000000,50997.7859,50714.2674,8.986749354e-01,1.013250542e-01,1.045393898e-08
38,3.15817140e-01,154.000000,3.01293404e-01,3.30340877e-01,154.000000,154.000000,50714.2674,50430.7489,8.986749354e-01,1.013250542e-01,1.045393898e-08
39,3.46264835e-01,154.000000,3.30340877e-01,3.62188794e-01,154.000000,154.000000,50430.7489,50147.2303,8.986749354e-01,1.013250542e-01,1.045393898e-08
40,3.79647970e-01,154.000000,3.62188794e-01,3.97107146e-01,154.000000,154.000000,50147.2303,49863.7118,8.986749354e-01,1.013250542e-01,1.045393898e-08
41,4.16249548e-01,154.000000,3.97107146e-01,4.35391950e-01,154.000000,154.000000,49863.7118,49580.1933,8.986749354e-01,1.013250542e-01,1.045393898e-08
42,4.56379856e-01,154.000000,4.35391950e-01,4.77367763e-01,154.000000,154.000000,49580.1933,49296.6748,8.986749354e-01,1.013250542e-01,1.045393898e-08
43,5.00379098e-01,154.000000,4.77367763e-01,5.23390433e-01,154.000000,154.000000,49296.6748,49013.1562,8.986749354e-01,1.013250542e-01,1.045393898e-08
44,5.48620273e-01,154.000000,5.23390433e-01,5.73850114e-01,154.000000,154.000000,49013.1562,48729.6377,8.986749354e-01,1.013250542e-01,1.045393898e-08
45,6.01512345e-01,154.000000,5.73850114e-01,6.29174576e-01,154.000000,154.000000,48729.6377,48446.1192,8.986749354e-01,1.013250542e-01,1.045393898e-08
46,6.59503702e-01,154.000000,6.29174576e-01,6.89832827e-01,154.000000,154.000000,48446.1192,48162.6007,8.986749354e-01,1.013250542e-01,1.045393898e-08
47,7.23085962e-01,154.000000,6.89832827e-01,7.56339096e-01,154.000000,154.000000,48162.6007,47879.0821,8.986749354e-01,1.013250542e-01,1.045393898e-08
48,7.92798140e-01,154.000000,7.56339096e-01,8.29257184e-01,154.000000,154.000000,47879.0821,47595.5636,8.986749354e-01,1.013250542e-01,1.045393898e-08
49,8.69231217e-01,154.000000,8.29257184e-01,9.09205251e-01,154.000000,154.000000,47595.5636,47312.0451,8.986749354e-01,1.013250542e-01,1.045393898e-08
50,9.53033151e-01,154.000000,9.09205251e-01,9.96861051e-01,154.000000,154.000000,47312.0451,47028.5266,8.986749354e-01,1.013250542e-01,1.045393898e-08
51,1.04491437e+00,154.000000,9.96861051e-01,1.09296768e+00,154.000000,154.000000,47028.5266,46745.0080,8.986749354e-01,1.013250542e-01,1.045393898e-08
52,1.14565378e+00,154.000000,1.09296768e+00,1.19833988e+00,154.000000,154.000000,46745.0080,46461.4895,8.986749354e-01,1.013250542e-01,1.045393898e-08
53,1.25610541e+00,154.000000,1.19833988e+00,1.31387093e+00,154.000000,154.000000,46461.4895,46177.9710,8.986749354e-01,1.013250542e-01,1.045393898e-08
54,1.37720559e+00,154.000000,1.31387093e+00,1.44054025e+00,154.000000,154.000000,46177.9710,45894.4525,8.986749354e-01,1.013250542e-01,1.045393898e-08
