
     ALT          P          T          FH2O           O3           THEAT        TCOOL        PSATCO2        FCO2
1.1020E+02  1.1585E-08 2.0000E+02    3.7268E-06    0.0000E+00    0.0000E+00    0.0000E+00    1.5785E+00    3.3000E-04
1.0843E+02  1.5532E-08 2.0000E+02    3.7268E-06    0.0000E+00    0.0000E+00    0.0000E+00    1.5785E+00    3.3000E-04
1.0668E+02  2.0778E-08 2.0000E+02    3.7268E-06    0.0000E+00    0.0000E+00    0.0000E+00    1.5785E+00    3.3000E-04
1.0494E+02  2.7733E-08 2.0000E+02    3.7268E-06    0.0000E+00    0.0000E+00    0.0000E+00    1.5785E+00    3.3000E-04
1.0321E+02  3.6934E-08 2.0000E+02    3.7268E-06    0.0000E+00    0.0000E+00    0.0000E+00    1.5785E+00    3.3000E-04
1.0150E+02  4.9078E-08 2.0000E+02    3.7268E-06    0.0000E+00    0.0000E+00    0.0000E+00    1.5785E+00    3.3000E-04
9.9802E+01  6.5071E-08 2.0000E+02    3.7268E-06    0.0000E+00    0.0000E+00    0.0000E+00    1.5785E+00    3.3000E-04
9.8116E+01  8.6083E-08 2.0000E+02    3.7268E-06    0.0000E+00    0.0000E+00    0.0000E+00    1.5785E+00    3.3000E-04
9.6443E+01  1.1363E-07 2.0000E+02    3.7268E-06    0.0000E+00    0.0000E+00    0.0000E+00    1.5785E+00    3.3000E-04
9.4784E+01  1.4965E-07 2.0000E+02    3.7268E-06    0.0000E+00    0.0000E+00    0.0000E+00    1.5785E+00    3.3000E-04
9.3138E+01  1.9666E-07 2.0000E+02    3.7268E-06    0.0000E+00    0.0000E+00    0.0000E+00    1.5785E+00    3.3000E-04
9.1506E+01  2.5786E-07 2.0000E+02    3.7268E-06    0.0000E+00    0.0000E+00    0.0000E+00    1.5785E+00    3.3000E-04
8.9887E+01  3.3736E-07 2.0000E+02    3.7268E-06    0.0000E+00    0.0000E+00    0.0000E+00    1.5785E+00    3.3000E-04
8.8281E+01  4.4038E-07 2.0000E+02    3.7268E-06    0.0000E+00    0.0000E+00    0.0000E+00    1.5785E+00    3.3000E-04
8.6689E+01  5.7359E-07 2.0000E+02    3.7268E-06    0.0000E+00    0.0000E+00    0.0000E+00    1.5785E+00    3.3000E-04
8.5110E+01  7.4543E-07 2.0000E+02    3.7268E-06    0.0000E+00    0.0000E+00    0.0000E+00    1.5785E+00    3.3000E-04
8.3545E+01  9.6661E-07 2.0000E+02    3.7268E-06    0.0000E+00    0.0000E+00    0.0000E+00    1.5785E+00    3.3000E-04
8.1993E+01  1.2506E-06 2.0000E+02    3.7268E-06    0.0000E+00    0.0000E+00    0.0000E+00    1.5785E+00    3.3000E-04
8.0454E+01  1.6145E-06 2.0000E+02    3.7268E-06    0.0000E+00    0.0000E+00    0.0000E+00    1.5785E+00    3.3000E-04
7.8929E+01  2.0796E-06 2.0000E+02    3.7268E-06    0.0000E+00    0.0000E+00    0.0000E+00    1.5785E+00    3.3000E-04
7.7417E+01  2.6727E-06 2.0000E+02    3.7268E-06    0.0000E+00    0.0000E+00    0.0000E+00    1.5785E+00    3.3000E-04
